,id,prediction,pred_score,conversation_id,root,speaker,text,turnNumber,politeness_label,politeness_label_name,annotation_status
214916,acs-058a0a57-b410-4981-8ba7-93974c148226,1,0.9814312024245878,acs-b50e7a81-9f9c-403d-a2d9-6a8dd2f8acb0-1,acs-b50e7a81-9f9c-403d-a2d9-6a8dd2f8acb0-1,agent,"Thank you for choosing us, wish to serve you again. Have a safe flight!",19,3,polite,annotated
214917,acs-058a0a57-b410-4981-8ba7-93974c148226,1,0.9814312024245878,acs-b50e7a81-9f9c-403d-a2d9-6a8dd2f8acb0-2,acs-b50e7a81-9f9c-403d-a2d9-6a8dd2f8acb0-2,agent,"Thank you for choosing us, wish to serve you again. Have a safe flight!",19,3,polite,annotated
214918,acs-b02e70da-2642-4397-be53-b148528d8e63,1,0.9814312024245878,acs-19633832-f8db-4b7b-8807-7dbbbeb07e2b-1,acs-19633832-f8db-4b7b-8807-7dbbbeb07e2b-1,agent,"Thank you for choosing us, we are always here to help you. Have a wonderful journey!",12,3,polite,annotated
214919,acs-7473e174-09d6-4b36-aff9-05c6ad23682a,1,0.9814312024245878,acs-9f658be6-de27-4e4d-9cb8-d66326b4c13c-1,acs-9f658be6-de27-4e4d-9cb8-d66326b4c13c-1,agent,"Always a pleasure! Thank you for reaching out to us, it's a pleasure assisting you. Have a great day and happy traveling!",12,3,polite,annotated
214920,acs-d50e6f9a-2147-4989-97d2-8877cf3ee333,1,0.9814312024245878,acs-c1c139ef-c4e3-4b06-b70f-3761b1003014-1,acs-c1c139ef-c4e3-4b06-b70f-3761b1003014-1,agent,"Thank you for visiting us, wish to serve you again. Have a safe flight!",11,3,polite,annotated
214921,acs-d50e6f9a-2147-4989-97d2-8877cf3ee333,1,0.9814312024245878,acs-c1c139ef-c4e3-4b06-b70f-3761b1003014-2,acs-c1c139ef-c4e3-4b06-b70f-3761b1003014-2,agent,"Thank you for visiting us, wish to serve you again. Have a safe flight!",11,3,polite,annotated
214922,acs-e39a3631-2d5b-4492-b99b-68ac6044b753,1,0.9814312024245878,acs-007f0ea8-6d87-465e-b47c-93879ab47284-1,acs-007f0ea8-6d87-465e-b47c-93879ab47284-1,agent,"Thank you for visiting us, wish to serve you again. Have a nice time!",11,3,polite,annotated
214923,acs-e39a3631-2d5b-4492-b99b-68ac6044b753,1,0.9814312024245878,acs-007f0ea8-6d87-465e-b47c-93879ab47284-2,acs-007f0ea8-6d87-465e-b47c-93879ab47284-2,agent,"Thank you for visiting us, wish to serve you again. Have a nice time!",11,3,polite,annotated
214924,acs-d7f83195-e0d8-4aea-80fa-82d0e42c8aa6,1,0.9814312024245878,acs-b3ad64c2-e961-4d5c-abb7-125df3563b0c-1,acs-b3ad64c2-e961-4d5c-abb7-125df3563b0c-1,agent,"Wonderful! Thank you for choosing us, wish to serve you again. Have a safe flight!",12,3,polite,annotated
214925,acs-d7f83195-e0d8-4aea-80fa-82d0e42c8aa6,1,0.9814312024245878,acs-b3ad64c2-e961-4d5c-abb7-125df3563b0c-2,acs-b3ad64c2-e961-4d5c-abb7-125df3563b0c-2,agent,"Wonderful! Thank you for choosing us, wish to serve you again. Have a safe flight!",12,3,polite,annotated
214926,acs-975719f2-93f3-4435-82dc-25bbd383544d,1,0.9814312024245878,acs-b5e2b97d-e53e-4586-88e7-b64a952079c5-1,acs-b5e2b97d-e53e-4586-88e7-b64a952079c5-1,agent,Wonderful! Thank you for reaching out to us. Have a great journey. Bye.,15,3,polite,annotated
214927,acs-975719f2-93f3-4435-82dc-25bbd383544d,1,0.9814312024245878,acs-b5e2b97d-e53e-4586-88e7-b64a952079c5-2,acs-b5e2b97d-e53e-4586-88e7-b64a952079c5-2,agent,Wonderful! Thank you for reaching out to us. Have a great journey. Bye.,15,3,polite,annotated
214928,acs-c34ff01d-f274-499a-919e-dd2eb9a5a4a5,1,0.9814312024245878,acs-15e8b1e1-8360-43b3-aae0-0ced3c0a88db-1,acs-15e8b1e1-8360-43b3-aae0-0ced3c0a88db-1,agent,Thank you so much for choosing Divehigh Airways. We hope you love your experience with us. We look forward to host you. Have a great day.,16,3,polite,annotated
214929,acs-c34ff01d-f274-499a-919e-dd2eb9a5a4a5,1,0.9814312024245878,acs-15e8b1e1-8360-43b3-aae0-0ced3c0a88db-2,acs-15e8b1e1-8360-43b3-aae0-0ced3c0a88db-2,agent,Thank you so much for choosing Divehigh Airways. We hope you love your experience with us. We look forward to host you. Have a great day.,16,3,polite,annotated
214930,acs-25560c98-d6c8-418d-8c01-e7aefc34076b,1,0.9814312024245878,acs-1dc9be50-82f4-47ad-bd60-5450340f4f85-1,acs-1dc9be50-82f4-47ad-bd60-5450340f4f85-1,agent,"Thank you for choosing us, we are always here to help you. Have a wonderful journey!",11,3,polite,annotated
214931,acs-7c1e0741-9ad6-4d22-8b19-d82f39dd9366,1,0.9814312024245878,acs-7fd4159c-bda2-48cd-80d8-15c586fb11c0-1,acs-7fd4159c-bda2-48cd-80d8-15c586fb11c0-1,agent,Fantastic! Thank you for reaching out to us. Have a great journey. Bye.,19,3,polite,annotated
214932,acs-7c1e0741-9ad6-4d22-8b19-d82f39dd9366,1,0.9814312024245878,acs-7fd4159c-bda2-48cd-80d8-15c586fb11c0-2,acs-7fd4159c-bda2-48cd-80d8-15c586fb11c0-2,agent,Fantastic! Thank you for reaching out to us. Have a great journey. Bye.,19,3,polite,annotated
214933,acs-4aeec445-8072-4f59-abae-2d06cb0a7346,1,0.9814312024245878,acs-62908908-5a7b-44f0-abc3-a0a60273e9b2-1,acs-62908908-5a7b-44f0-abc3-a0a60273e9b2-1,agent,"Thank you for visiting us, we are always here whenever you need us. Have a safe flight!",14,3,polite,annotated
214934,acs-4aeec445-8072-4f59-abae-2d06cb0a7346,1,0.9814312024245878,acs-62908908-5a7b-44f0-abc3-a0a60273e9b2-2,acs-62908908-5a7b-44f0-abc3-a0a60273e9b2-2,agent,"Thank you for visiting us, we are always here whenever you need us. Have a safe flight!",14,3,polite,annotated
