,id,prediction,pred_score,conversation_id,root,speaker,text,turnNumber,politeness_label,politeness_label_name,annotation_status
421970,acs-4bee2268-bc85-406b-b38b-e3850dec4222,1,0.9814312024245878,acs-a14b012c-024c-4f80-854a-d7da69e7c210-2,acs-a14b012c-024c-4f80-854a-d7da69e7c210-2,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,12,3,polite,annotated
421971,acs-ead7ef44-98ef-442d-8bc8-8aad40fbdeab,1,0.9814312024245878,acs-832ba208-302f-4dcf-beac-16fd4721b720-1,acs-832ba208-302f-4dcf-beac-16fd4721b720-1,agent,"Thanks for sharing your details. We have three data plans: 1 GB, 5 GB and 10 GB, which one you'd like to buy? ",8,2,somewhat_polite,annotated
421972,acs-ead7ef44-98ef-442d-8bc8-8aad40fbdeab,1,0.9814312024245878,acs-832ba208-302f-4dcf-beac-16fd4721b720-2,acs-832ba208-302f-4dcf-beac-16fd4721b720-2,agent,"Thanks for sharing your details. We have three data plans: 1 GB, 5 GB and 10 GB, which one you'd like to buy? ",8,2,somewhat_polite,annotated
421973,acs-cc4981c9-9255-4331-a95b-f3d2914090f9,1,0.9814312024245878,acs-1de3938a-77b3-455e-8fde-d1411db67e22-1,acs-1de3938a-77b3-455e-8fde-d1411db67e22-1,agent,"Thank you for helping me with your details. As of now we've three data plans for you, viz 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
421974,acs-cc4981c9-9255-4331-a95b-f3d2914090f9,1,0.9814312024245878,acs-1de3938a-77b3-455e-8fde-d1411db67e22-2,acs-1de3938a-77b3-455e-8fde-d1411db67e22-2,agent,"Thank you for helping me with your details. As of now we've three data plans for you, viz 1 GB, 5 GB and 10 GB. Which one you'd like to buy?",4,2,somewhat_polite,annotated
421975,acs-eaf59fe6-b702-4c37-bea0-c219e470ade2,1,0.9814312024245878,acs-61bf8af1-8efc-4799-a183-afc455094ac1-1,acs-61bf8af1-8efc-4799-a183-afc455094ac1-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,11,3,polite,annotated
421976,acs-49d2df77-80ef-45f2-80b1-5d32e8f820a2,1,0.9814312024245878,acs-0cc5b39d-1bed-4f1e-9fab-7c1bf3369227-1,acs-0cc5b39d-1bed-4f1e-9fab-7c1bf3369227-1,agent," It's a pleasure assisting you, thank you for reaching out to us. Have an awesome day ahead!",14,3,polite,annotated
421977,acs-1d590c10-53f4-4493-bf20-d7e07a8590ce,1,0.9814312024245878,acs-6d50ee85-288e-4e02-9ff6-3372d2ad7af8-1,acs-6d50ee85-288e-4e02-9ff6-3372d2ad7af8-1,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,14,3,polite,annotated
421978,acs-1d590c10-53f4-4493-bf20-d7e07a8590ce,1,0.9814312024245878,acs-6d50ee85-288e-4e02-9ff6-3372d2ad7af8-2,acs-6d50ee85-288e-4e02-9ff6-3372d2ad7af8-2,agent,Fantastic! Thank you for reaching out to us. Have a great day. Bye.,14,3,polite,annotated
421979,acs-67cd0e6e-7907-40bc-b6d0-c1eb5371e2c8,1,0.9814312024245878,acs-9acdc275-6a20-4b31-bde5-1b2aab01dc39-1,acs-9acdc275-6a20-4b31-bde5-1b2aab01dc39-1,agent,"Thank you for reaching out to us, we are always here to help you. Have a nice day!",13,3,polite,annotated
