ID,wav,input_recognition,input_transcription,start,end,turn_restart,system_action,system_action_full,uncovered_entity,entity_extracted,correct_label,interruption,interruption_total,dtmf,dtmf_total,repeat,repeat_total,start_over,start_over_total,normalized_input,myAction,total_act0,total_act1,total_act2,total_act3,total_act4,total_act5,total_act6,total_act7,total_act8,total_act9
20090913_001,004.raw,yes,yes,50.896,51.176,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'OAKLAND'},{},0,0,0,0,0,0,0,0,yes,1,0,1,0,0,0,0,1,0,0,0
20090913_001,005.raw,strip district,strip district,55.106,56.586,FALSE,ack,->inform$confirm_okay->request$query.arrival_place,[],{},{u'to.neighborhood': u'strip district'},0,0,0,0,0,0,0,0,<place> district,0,1,1,0,0,0,1,1,0,0,0
20090913_001,006.raw,yes,yes,59.586,59.846,FALSE,impl-conf,->implicit_confirm$query.arrival_place->request$query.travel_time,[],{u'query.arrival_place': u'STRIP DISTRICT'},{},1,1,0,0,0,0,0,0,yes,0,2,1,0,0,0,2,1,0,0,0
20090913_001,008.raw,seven a m,seven a m,65.276,66.416,FALSE,impl-conf,->implicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'Leaving at 5 p.m.'},{},0,1,0,0,0,0,0,0,<time>,2,2,1,1,0,0,2,1,1,0,0
20090913_010,003.raw,no,no,22.857,23.437,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'TENTH'},{},0,0,0,0,0,0,0,0,no,1,0,1,0,0,0,0,1,0,0,0
20090913_021,001.raw,yes,yes,16.81,17.04,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SQUIRREL HILL'},{},0,0,0,0,0,0,0,0,yes,1,0,1,0,0,0,0,1,0,0,0
20090913_021,003.raw,yes,yes,26.114,26.364,FALSE,ack,->inform$confirm_okay->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'the next bus'},{},0,1,0,0,0,0,0,0,yes,2,0,1,1,0,0,0,1,1,0,0
20090913_027,001.raw,yes,yes,16.807,17.077,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'SQUIRREL HILL'},{},1,1,0,0,0,0,0,0,yes,1,0,1,0,0,0,0,1,0,0,0
20090913_027,003.raw,yes,yes,27.401,27.711,FALSE,ack,->inform$confirm_okay->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'the next bus'},{},0,1,0,0,0,0,0,0,yes,2,0,1,1,0,0,0,1,1,0,0
20090913_027,004.raw,when is the next bus,when is the next bus,46.355,47.335,FALSE,ack,->inform$confirm_okay->inform$looking_up_database_first->inform$result->request$next_query,[],{u'result': u'61C'},{},1,2,0,0,0,0,0,0,when is the next bus,3,0,1,1,1,0,0,1,1,1,0
20090913_035,002.raw,wilkinsburg,wilkinsburg,20.021,20.851,FALSE,ack,->inform$confirm_okay->request$query.departure_place,[],{},{u'from.neighborhood': u'wilkinsburg'},0,0,0,0,0,0,0,0,<neighborhood>,1,0,1,0,0,0,0,1,0,0,0
20090913_041,001.raw,no,no,20.342,21.072,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'MURRAY'},{},0,0,0,0,0,0,0,0,no,1,0,1,0,0,0,0,1,0,0,0
20090913_041,009.raw,yes,yes,90.948,91.808,FALSE,expl-conf,->explicit_confirm$query.departure_place,[],{u'query.departure_place': u'OAKLAND'},{},1,3,0,0,0,0,0,0,yes,1,0,2,0,0,0,0,2,0,0,0
20090913_041,010.raw,no,no,97.172,98.082,FALSE,ack,->inform$confirm_okay->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'the next bus'},{},0,3,0,0,0,0,0,0,no,2,0,2,1,0,0,0,2,1,0,0
20090913_041,011.raw,no,no,102.144,102.744,FALSE,expl-conf,->explicit_confirm$query.travel_time.time,[],{u'query.travel_time.time': u'Leaving at 7 a.m.'},{},0,3,0,0,0,0,0,0,no,2,0,2,2,0,0,0,2,2,0,0
